ID  lat_MERIT lon_MERIT area_MERIT
1253400 -5.892  30.042  1301.8
1255100 -17.408 14.208  88840.9
1257100 -17.908 19.742  103764.5
1257101 -18.025 21.425  232849.1
1257200 -21.208 17.108  5544.1
1258100 -19.175 13.575  10886.1
1258150 -20.475 14.575  1533.1
1258200 -20.408 15.475  14213.0
1258201 -21.075 13.808  28982.9
1258202 -20.192 16.142  7729.9
1258300 -21.425 15.675  3677.6
1258350 -21.842 15.625  4151.2
1258400 -22.275 16.425  8853.4
1258500 -23.508 14.975  13708.1
1258501 -23.275 15.792  6447.8
1258502 -22.975 16.408  1911.0
1258503 -23.175 14.642  17607.0
1258510 -23.475 15.758  2634.7
1259060 -24.192 17.025  3329.5
1259070 -24.358 17.575  1512.4
1259080 -25.125 17.508  5861.7
1259090 -27.442 17.975  2246.8
1259100 -27.908 17.492  64901.8
1259101 -26.808 17.792  45254.5
1259102 -25.908 17.975  37843.4
1259103 -24.192 17.358  9317.4
1259104 -24.275 17.092  2858.6
1259110 -26.808 18.225  8088.2
1259111 -26.875 18.125  9246.7
1259112 -26.792 18.558  3272.0
1259150 -30.358 27.575  19713.1
1259151 -30.058 28.508  10740.2
1259152 -29.592 28.708  7934.1
1259201 -24.825 17.158  4786.8
1259220 -28.992 27.708  5585.3
1259250 -29.408 27.542  1008.6
1259261 -23.808 16.658  1135.5
1259270 -24.508 15.775  1478.0
1259301 -29.875 27.608  1569.8
1259320 -29.475 28.642  3227.8
1259350 -25.008 18.892  20333.9
1259360 -29.558 28.158  1107.6
1259400 -26.425 17.108  4244.7
1259440 -23.058 18.625  9551.9
1259450 -23.108 18.692  9626.8
1259451 -22.158 18.825  4530.4
1259460 -28.142 19.258  2542.7
1259800 -29.292 28.992  1679.8
1261200 35.392  9.708 8595.0
1269200 -2.925  33.142  1280.1
1269400 -2.642  33.542  5106.5
1269600 -2.075  33.975  10008.2
1270800 -1.242  31.425  53743.6
1270900 -1.458  31.675  1208.3
1271500 -1.575  34.542  11270.5
1286200 -8.775  34.375  1612.7
1286400 -7.892  35.808  2624.6
1286401 -7.792  35.725  2895.8
1286402 -8.042  35.725  1861.7
1286600 -7.542  36.425  3075.2
1286640 -6.825  35.125  9070.8
1286660 -7.125  35.958  69855.7
1286700 -8.192  36.925  33725.4
1286730 -8.925  35.808  2532.2
1286900 -7.808  37.925  158297.3
1286901 -7.808  37.908  158289.3
1287700 -5.475  34.958  1069.3
1287800 -5.992  35.208  9185.9
1287801 -4.575  35.675  1042.6
1288100 -11.225 35.342  4668.0
1289050 -5.025  38.275  3770.0
1289150 -10.258 39.458  4126.1
1289200 -5.158  38.442  36571.3
1289380 -5.675  38.525  2846.1
1289450 -6.675  38.708  14329.5
1289451 -7.292  38.175  6271.4
1290200 -8.675  32.375  10132.1
1290210 -8.725  32.375  7230.6
1290910 -8.592  33.058  2617.8
1291100 -17.492 24.292  334362.8
1291200 -17.692 23.392  113355.0
1292200 -9.342  33.925  1083.7
1292300 -10.442 34.792  14593.2
1292301 -9.942  35.192  1994.0
1292310 -10.308 35.142  5649.5
1304800 34.975  -3.358  1357.4
1308100 32.858  -4.925  1790.3
1308110 32.742  -4.908  997.9
1308600 34.242  -3.325  24262.9
1309500 33.708  -6.425  3264.3
1309520 33.125  -6.275  1646.7
1309550 32.258  -6.092  2440.4
1309600 32.675  -5.908  3359.0
1309620 32.992  -5.658  981.1
1309700 34.275  -5.425  15665.1
1309720 34.592  -5.258  6223.1
1309750 34.542  -5.008  4458.0
1309800 33.742  -4.542  4442.6
1309810 33.658  -4.508  3447.1
1309850 34.542  -4.542  1766.1
1310500 32.292  -4.525  1288.9
1310600 31.992  -3.758  2439.5
1316100 5.308 -9.292  5354.1
1321800 8.192 -9.742  1527.3
1322800 7.325 -9.542  9745.0
1323500 7.058 -9.158  3953.4
1324500 6.425 -8.642  5765.7
1326300 4.458 9.975 8290.6
1326301 4.575 9.542 2387.0
1326500 5.125 9.992 2366.0
1326701 3.242 10.725  1134.1
1326802 2.942 9.908 1411.1
1326901 2.875 9.892 2321.0
1335011 8.108 13.825  3211.2
1335014 9.058 13.692  30765.8
1335122 8.592 12.825  23828.8
1335181 9.608 13.875  26562.9
1335241 8.392 14.242  5298.1
1335381 9.775 13.925  5525.1
1335451 6.275 10.042  2247.7
1335500 9.292 13.408  62963.8
1336500 5.758 9.325 6664.5
1337100 7.208 13.592  1675.2
1337101 7.742 15.342  12336.5
1337151 7.542 13.958  1617.0
1337200 7.442 15.442  7436.0
1337251 10.742  14.608  1529.6
1338050 3.775 10.058  131818.1
1338200 5.458 10.558  4788.9
1338201 5.758 14.108  9846.8
1338252 5.608 11.192  16002.4
1338271 4.792 11.992  3733.5
1338300 4.558 11.375  42943.3
1338400 4.358 11.625  76227.0
1338401 5.992 11.258  3924.9
1338503 5.692 10.492  2206.3
1338600 6.342 12.808  20257.1
1339011 3.775 12.242  8958.3
1339012 3.892 12.508  7545.2
1339014 3.575 10.692  20806.0
1339015 3.542 11.075  20153.7
1339017 3.442 11.292  19044.5
1339100 3.558 10.108  26741.9
1339500 3.508 11.508  14442.5
1340500 2.308 11.308  18093.6
1348100 3.375 12.742  5125.4
1348151 4.325 14.342  9102.6
1348152 4.208 14.675  20498.8
1348351 3.225 14.908  10328.2
1348401 2.808 13.342  19497.2
1357100 -18.075 21.458  233251.0
1357600 -20.225 26.175  24008.2
1362100 29.692  31.292  3032445.8
1362200 27.208  31.125  2998350.8
1362300 26.058  32.242  2989948.3
1362400 25.325  32.558  2956262.3
1362500 24.325  32.908  2917308.8
1362600 23.992  32.875  2911122.3
1389090 -21.825 43.875  53162.0
1389100 -21.908 43.992  52768.1
1389200 -20.542 44.275  4158.0
1389230 -19.725 44.958  44992.7
1389250 -19.992 45.525  1877.1
1389300 -24.358 44.508  1623.7
1389320 -24.708 45.058  5325.8
1389330 -19.792 45.525  17802.6
1389350 -19.525 45.492  14602.9
1389430 -21.308 46.008  6272.6
1389450 -22.392 46.108  1529.9
1389460 -24.208 46.325  3831.4
1389470 -25.042 46.375  12409.2
1389490 -20.275 46.808  6954.3
1389500 -17.425 46.875  18349.5
1389520 -16.925 46.942  11815.8
1389530 -18.142 46.942  9405.8
1389540 -20.108 47.075  1024.1
1389550 -18.825 47.325  4164.1
1389580 -19.625 47.708  3261.2
1389600 -22.925 46.958  14348.7
1389670 -15.975 47.692  6511.5
1389680 -20.975 47.708  2348.2
1389690 -18.858 48.092  3243.1
1389700 -14.592 48.575  2594.4
1389710 -13.758 48.508  1040.6
1389720 -18.808 48.592  1805.7
1389750 -13.758 48.458  2761.7
1389760 -15.508 48.608  4125.4
1389780 -18.992 48.942  1282.0
1389790 -18.708 48.992  2043.5
1389800 -13.158 49.042  3155.1
1389820 -18.158 49.242  2567.5
1396010 -21.142 27.342  2494.5
1396100 -21.875 28.008  12020.7
1396101 -21.875 28.008  12020.7
1396102 -21.842 27.725  9721.9
1396110 -21.925 27.692  1279.5
1396200 -22.575 27.642  6942.2
1396201 -22.575 27.642  6942.2
1396300 -23.275 26.725  980.3
1396600 -24.675 25.575  1302.0
1396601 -24.692 25.925  4352.6
1425100 7.258 -8.058  2059.4
1425300 5.908 -7.442  1192.8
1425350 5.842 -7.442  11857.4
1425450 5.358 -7.325  4242.4
1425500 4.392 -7.558  29779.4
1426050 4.725 -6.908  1056.4
1426100 8.742 -6.858  1022.6
1426120 9.742 -5.608  5503.3
1426140 8.792 -5.892  3725.7
1426180 8.092 -6.292  6762.9
1426200 6.092 -4.958  59839.0
1426210 5.992 -4.858  60385.5
1426250 8.242 -4.858  6780.1
1426260 7.775 -4.675  10445.2
1426300 6.958 -5.758  20834.2
1426320 6.642 -4.792  6268.8
1426340 8.108 -5.408  23651.5
1426350 5.992 -4.825  35308.7
1426380 5.892 -4.825  96087.1
1426600 5.958 -4.208  4608.8
1427100 9.092 -7.375  1391.5
1427130 9.025 -7.242  2304.6
1427150 8.508 -7.192  5834.0
1427160 8.375 -7.708  4947.1
1427200 8.392 -7.158  16833.9
1427250 7.875 -7.558  6850.7
1427350 7.692 -7.075  29867.0
1427370 7.108 -7.525  1519.3
1427400 6.542 -7.475  6975.2
1427450 6.742 -6.992  36549.2
1427500 5.758 -6.608  62731.8
1427600 5.258 -6.058  6540.5
1428100 9.375 -4.492  1151.7
1428200 9.575 -4.292  21577.2
1428250 9.658 -4.108  1946.9
1428300 7.942 -3.942  49388.3
1428400 6.625 -3.725  69390.9
1428500 6.292 -3.475  71412.0
1431300 9.192 -2.708  119069.1
1434200 9.692 -7.792  1935.9
1434300 10.058  -7.575  4131.0
1434350 9.858 -7.558  1828.2
1434370 9.908 -7.425  996.9
1434740 9.525 -6.608  1052.6
1434780 9.575 -6.508  2601.5
1434790 9.575 -6.508  2601.5
1434810 9.858 -6.358  4748.6
1434820 9.875 -6.358  4764.2
1434850 10.625  -6.208  9169.3
1444100 -2.875  11.975  6650.1
1445050 -4.158  13.292  17517.6
1445100 -4.125  12.092  55336.5
1445490 -4.108  13.075  23301.3
1445500 -4.125  13.075  3746.9
1445600 -4.242  14.042  8752.3
1445700 -3.875  13.708  4782.4
1447100 -4.608  14.925  2976.9
1447150 -4.292  15.292  3605659.0
1447200 -4.208  15.025  5369.1
1447300 -2.892  15.642  12405.6
1447400 -1.892  15.858  6072.8
1447600 0.358 15.475  11886.6
1448050 2.025 14.892  38811.3
1448100 1.625 16.058  158777.2
1448500 1.342 17.458  9827.2
1468050 0.875 30.042  33201.2
1468100 0.875 30.725  2650.9
1468200 1.125 30.992  1835.3
1468800 2.425 31.475  406808.8
1469100 -0.625  30.642  2099.3
1472100 1.558 32.042  16069.4
1472150 2.292 31.558  348560.1
1472200 0.825 33.025  263458.2
1472300 0.492 33.142  262965.3
1472305 0.425 33.192  262894.2
1473050 2.525 31.475  407625.1
1491100 -18.392 26.325  1910.5
1491150 -18.392 26.608  1770.3
1491200 -18.358 27.042  39230.2
1491210 -18.592 27.158  20307.7
1491220 -18.558 27.542  1399.9
1491230 -18.942 27.775  3929.2
1491240 -19.858 28.008  1472.6
1491250 -18.925 28.858  5687.1
1491260 -18.725 28.808  4208.1
1491480 -19.058 29.792  1243.2
1491485 -19.042 29.775  1246.0
1491500 -18.642 29.775  5945.9
1491510 -19.058 30.342  2468.7
1491550 -18.442 29.875  2405.3
1491555 -18.442 29.975  2075.6
1491580 -18.108 30.225  5258.1
1491585 -18.125 30.225  5257.2
1491586 -18.258 30.758  2202.6
1491590 -17.492 29.392  36903.7
1491600 -18.858 29.825  4361.9
1491601 -18.858 29.825  4361.9
1491610 -18.808 30.325  2603.3
1491620 -18.675 30.525  1067.3
1491670 -17.108 30.342  1698.0
1491680 -17.108 30.308  6150.2
1491700 -16.958 30.358  8120.8
1491750 -17.892 30.775  2241.3
