  ID  lat_ori  lon_ori  lat_MERIT  lon_MERIT  area_MERIT  width_MERIT  elv_MERIT
            1072        -3.1980       -57.1110        -3.1583       -57.1250      2866.7739       895.4156         8.6000
            1073        -1.0810       -69.7860        -1.0750       -69.7917     50929.2227       531.5326        74.2000
            1074        -0.9440       -70.0790        -0.9417       -70.0750     48494.0820       368.2481        79.0000
            1075         0.0040       -70.9840        -0.0083       -70.9750     33252.1758       329.4434       135.1000
            1076         0.7910       -72.2490         0.7750       -72.2417     20081.3379       216.6504       158.3000
            1077        -0.8270       -70.2640        -0.8250       -70.2583     47403.4961       365.8249        82.0000
            1078        -0.4930       -70.3760        -0.4917       -70.3750     38926.7500       271.2195        86.8000
            1079        -0.0070       -71.0030        -0.0083       -71.0083     29608.3984       385.7132       140.3000
            1080         7.6120       -70.2520         7.6083       -70.2583     12352.6465       135.5742       103.2000
            1081        39.9710        44.4740        39.9583        44.4917     33759.7422        67.3464       821.0000
            1082        39.2760        47.1090        39.2750        47.1084     76627.8281        62.0035       194.5000
            1083        38.9240        45.7850        38.9250        45.7917     61907.3281        43.0341       685.2000
            1084        40.0240        43.9920        40.0250        43.9917     20788.0312        15.5272       867.4000
            1085        38.8980        46.5120        38.8917        46.5083     65789.8906        44.5271       382.3000
            1086        39.8930        48.2240        39.8917        48.2250     96714.4375        11.2500        -6.2000
            1087        39.6080        44.8470        39.6083        44.8417     36953.1289        36.6567       791.7000
            1088        38.8900        46.4630        38.8917        46.4583     65694.5000        39.9169       395.7000
            1089        40.1450        43.2340        40.1583        43.2750      9471.1133        51.8328      1104.3000
            1090        39.9580        41.8590        39.9750        41.8917      4691.0640        58.0133      1589.8000
            1091        40.0200        43.9530        40.0250        43.9583     20779.2734        11.2500       874.1000
            1092        -5.4180       -60.4070        -5.4250       -60.4083    143781.7344       611.1633        19.4000
            1093        -7.7400       -60.4780        -7.7417       -60.4750     50999.1523       310.8288        37.7000
            1094        -6.8400       -60.5110        -6.8417       -60.5083    134011.4844       598.7466        26.5000
            1095        -8.3500       -59.8950        -8.3417       -59.9083     46167.5586       286.3348        65.0000
            1096        -6.2010       -60.2970        -6.1917       -60.2750    136248.2344       501.4475        24.8000
            1097        -8.3590       -59.8180        -8.3583       -59.8250     42349.2852       252.2267        65.0000
            1098       -10.3360       -59.3750       -10.3417       -59.3750     14433.6797        93.1242       224.7000
            1099        -9.1660       -59.3590        -9.1417       -59.3750     31660.7734       193.0790        75.8000
            1100        -9.2210       -59.3710        -9.2250       -59.3750     31503.5703       246.9244        79.1000
            1101        -9.2670       -59.3820        -9.2750       -59.3750     31471.7383       251.4205        79.1000
            1102        -9.2870       -59.3860        -9.2917       -59.3917     31385.3984       258.0054        79.1000
            1103        -9.4040       -59.4120        -9.4083       -59.4083     30745.2793       255.9167        82.2000
            1104        -9.4670       -59.4260        -9.4750       -59.4250     29482.8652       217.2491        83.8000
            1105        -9.5030       -59.4340        -9.5083       -59.4417     29378.8418       275.2748        87.6000
            1106        -9.6230       -59.4610        -9.6250       -59.4583     28459.2891       181.9684        92.8000
            1107         1.7000        26.8290         1.7083        26.8083     83567.0156       446.2931       476.2000
            1108         1.8580        26.3950         1.8583        26.3917     89001.9531       226.4192       442.8000
            1109         1.3350        24.3300         1.3417        24.3250    109285.7578       618.7033       374.8000
            1110         1.3300        24.3150         1.3250        24.3083    109302.3203       581.7377       374.8000
            1111         1.6490        27.0530         1.6417        27.0583     61322.5703       337.1623       479.0000
            1112         1.2920        23.8490         1.2917        23.8417    114180.0312       738.4266       369.4000
            1113         1.5420        25.2970         1.5417        25.2917    101985.4453       696.8092       416.6000
            1114         1.2570        23.7230         1.2583        23.7250    114393.7109       321.3791       363.3000
            1115         1.2950        24.6500         1.3083        24.6250    106744.4766       340.8484       386.0000
            1116         1.7300        25.4880         1.7250        25.4917     97940.8828       382.0008       422.5000
            1117        16.5910        35.2160        16.5917        35.2083    113461.1953        13.5000       384.5000
            1118        16.4420        35.2510        16.4417        35.2583    113185.0156        13.5000       386.6000
            1119        16.6010        35.2060        16.6083        35.2083    113517.9141        50.7299       384.2000
            1120        17.3000        34.4800        17.3083        34.4750    161185.6562        42.0396       363.8000
            1121        16.5620        35.2410        16.5583        35.2417    113439.0469        47.1667       384.7000
            1122        17.6790        34.0240        17.6750        34.0250    231479.4375        26.3947       347.4000
            1123        -4.4940       -60.2010        -4.4917       -60.2083     24525.3711       490.3900        15.3000
            1124        -4.4360       -60.1120        -4.4417       -60.1083     24728.3359       678.5216        15.3000
            1125        -3.5750       -51.6520        -3.5750       -51.6583     25573.2676       120.0899        72.6000
            1126        -5.7150       -51.4060        -5.6750       -51.4083      1521.9841        11.2500       156.5000
            1127        -3.8820       -51.4680        -3.8750       -51.4750     24114.1953       188.5231        78.0000
            1128        -4.4310       -51.3470        -4.4250       -51.3417     19902.4434        89.2824       103.0000
            1129        -4.4720       -51.3380        -4.4750       -51.3417     19808.2168       131.2323       107.9000
            1130        11.2400        -6.5500        11.2417        -6.5583     30427.5352        14.8500       293.3000
            1131        11.2530        -6.5640        11.2583        -6.5583     30451.3867        23.4000       293.3000
            1132         9.0260        19.1860         9.0250        19.1917    133260.7812        11.2500       371.8000
