ID  Lat Lon EGM96_h
1193  13.261  33.901  -3.24
1194  12.415  34.280  -4.71
1195  15.520  32.661  1.63
1196  12.398  34.317  -4.77
1197  12.269  34.347  -4.88
1198  11.491  34.524  -4.57
1199  10.046  35.787  -5.46
1200  1.408 21.470  -17.98
1201  1.308 21.842  -18.64
1202  1.389 21.523  -18.10
1203  5.259 25.741  -11.41
1204  4.724 22.804  -8.97
1205  4.718 23.120  -9.60
1206  4.457 22.689  -9.46
1207  5.154 26.301  -11.75
1208  5.115 26.427  -11.77
1209  4.693 23.529  -9.87
1210  4.661 23.452  -9.93
1211  4.900 24.784  -9.70
1212  5.380 25.533  -11.23
1213  26.180  90.833  -48.86
1214  24.845  89.615  -54.84
1215  25.161  89.695  -54.00
1216  26.775  93.480  -55.26
1217  26.758  93.487  -55.43
1218  26.231  91.029  -48.80
1219  26.205  91.040  -48.83
1220  26.718  93.630  -56.30
1221  -0.802  -61.852 -7.78
1222  -0.760  -61.862 -7.81
1223  1.444 -61.263 -10.61
1224  1.091 -61.337 -10.28
1225  1.118 -61.342 -10.27
1226  -1.030  -61.871 -7.58
1227  -0.438  -61.805 -8.13
1228  2.668 -60.752 -14.10
1229  2.594 -60.797 -13.75
1230  0.343 -61.739 -8.85
1231  -10.477 -61.090 9.43
1232  -10.648 -61.129 10.22
1233  -10.706 -61.142 10.50
1234  -10.770 -61.156 10.81
1235  -10.961 -61.199 11.84
1236  -10.084 -60.869 6.93
1237  -10.101 -60.865 6.97
1238  -10.175 -60.849 7.15
1239  1.634 -57.711 -21.99
1240  1.629 -57.693 -22.04
1241  1.052 -57.102 -22.83
1242  -10.443 -59.351 1.71
1243  7.772 -70.194 -8.02
1244  -1.338  -73.435 19.35
1245  3.059 -65.929 -6.45
1246  2.006 -66.952 -0.36
1247  2.401 -66.503 -3.11
1248  2.810 -66.057 -5.65
1249  9.381 18.171  3.99
1250  10.776  15.953  11.12
1251  11.433  15.354  12.28
1252  10.763  16.137  10.74
1253  10.572  17.029  8.97
1254  10.781  15.984  11.07
1255  9.744 17.777  5.52
1256  10.590  16.963  9.11
